# Removed extra columns, and rows at the end of the file
# Replaced '0' with INDEF
# Replaced INDEF with nan
# Removed extra columns, and rows at the end of the file
# Replaced '0' with INDEF
# Replaced INDEF with nan
ID alpha delta x y v ev bv ebv ub eub vi evi d_arcsec _r _x _y _p DR2Name RA_ICRS e_RA_ICRS DE_ICRS e_DE_ICRS SolID Source RandomI Epoch Plx e_Plx RPlx pmRA e_pmRA pmDE e_pmDE RADEcor RAPlxcor RApmRAcor RApmDEcor DEPlxcor DEpmRAcor DEpmDEcor PlxpmRAcor PlxpmDEcor pmRApmDEcor NAL NAC NgAL NbAL gofAL chi2AL epsi sepsi Solved APF WAL pscol e_pscol fvarpi MatchObsA Nper amax type MatchObs Dup o_Gmag FG e_FG RFG Gmag e_Gmag o_BPmag FBP e_FBP RFBP BPmag e_BPmag o_RPmag FRP e_FRP RFRP RPmag e_RPmag E_BR_RP_ Mode BP-RP BP-G G-RP RV e_RV o_RV Tefftemp loggtemp __Fe_H_temp Var GLON GLAT ELON ELAT fPriam Teff b_Teff B_Teff AG b_AG B_AG E_BP-RP_ b_E_BP-RP_ B_E_BP-RP_ fFLAME Rad b_Rad B_Rad Lum b_Lum B_Lum RAJ2000 e_RAJ2000 DEJ2000 e_DEJ2000
11 16.916749 -39.408737 1975.79 1258.98 10.337 0.013 1.218 0.015 1.004 0.01 1.292 0.052 0.6051 0.117715 -0.113204 0.032273 285.9 "Gaia DR2 5969991557771861120" 253.75139777612 0.5445 -39.40862550096 0.5551 1635721458409799680 5969991557771861120 293545280 2015.5 "" "" "" "" "" "" "" -0.4244 "" "" "" "" "" "" "" "" "" 86 0 77 9 2.9662 112.88 1.419 3.1 3 0 0.1667 "" "" -0.188 9 5 70.993 0 11 0 78 443.3 3.64 121.775 19.0716 0.0089 6 364.1 109.2 3.332 18.9485 0.3258 6 741.5 69.07 10.737 17.5866 0.1011 2.494 1 1.3619 -0.1232 1.485 "" "" 0 "" "" "" NOT_AVAILABLE 345.44371763762 2.58078046416 256.95532281091 -16.70230591773 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 253.751397776 0.5445 -39.408625501 0.5551
12 16.925362 -39.444371 1139.62 1553.48 10.398 0.005 0.211 0.009 -0.279 0.011 0.369 0.009 1.1084 0.014214 -0.013806 -0.003384 256.2 "Gaia DR2 5970177924991262848" 253.88003729286 0.057 -39.44437291736 0.0436 1635721458409799680 5970177924991262848 349591794 2015.5 0.7923 0.0629 12.6031 1.075 0.102 -0.724 0.07 0.0151 -0.2315 -0.6114 -0.0473 0.1796 -0.0655 -0.7856 -0.2 0.0116 -0.045 209 209 199 10 11.0333 501.33 0.0 0.0 31 0 313.2924 1.7124 0.0093 0.049 25 10 0.063678 0 28 0 232 1436000.0 557.6 2574.734 10.2958 0.0004 28 940200.0 875.8 1073.561 10.4184 0.001 26 751700.0 688.9 1091.08 10.0719 0.001 1.179 0 0.3465 0.1226 0.2239 "" "" 0 "" "" "" NOT_AVAILABLE 345.47823601811 2.48096893372 257.06269568404 -16.72631013823 100001 8046.0 7794.71 8305.75 0.915 0.6463 1.104 0.4628 0.337 0.5567 "" "" "" "" "" "" "" 253.880031297 1.5829 -39.444369801 1.0905
13 16.924599 -39.452487 1213.7 1620.55 10.525 0.005 0.214 0.009 -0.363 0.009 0.38 0.009 1.1420 0.025418 -0.022648 -0.011538 243.0 "Gaia DR2 5970178023762816256" 253.86858356124 0.0577 -39.45252455444 0.0429 1635721458409799680 5970178023762816256 13299851 2015.5 0.6932 0.0605 11.4538 1.234 0.104 -0.579 0.069 -0.0233 -0.241 -0.5693 -0.0421 0.1752 -0.0652 -0.7774 -0.1376 -0.0184 -0.0824 201 201 195 6 9.5443 442.22 0.0 0.0 31 0 314.3781 1.6911 0.0093 0.047 24 10 0.064953 0 26 1 218 1278000.0 491.8 2598.631 10.4219 0.0004 23 835700.0 907.2 921.152 10.5463 0.0012 21 670400.0 570.0 1176.09 10.1961 0.0009 1.178 0 0.3502 0.1243 0.2259 "" "" 0 "" "" "" NOT_AVAILABLE 345.46632968353 2.48275217781 257.05450383089 -16.73542769201 100001 8005.5 7745.33 8111.0 1.1172 0.971 1.2961 0.528 0.42 0.6371 "" "" "" "" "" "" "" 253.868576682 1.62 -39.4525220628 1.0715
14 16.933937 -39.415145 307.039 1311.94 10.577 0.006 0.171 0.007 -0.27 0.003 0.43 0.009 3.7476 0.088911 0.08494 0.026274 72.8 "Gaia DR2 5970178921424404480" 254.00785930149 24.243 -39.41466507761 6.3408 1635721458409799680 5970178921424404480 1495730406 2015.5 "" "" "" "" "" "" "" 0.6299 "" "" "" "" "" "" "" "" "" 44 0 43 1 1.3907 50.65 3.433 1.3 3 0 0.017 "" "" 0.388 5 3 306270.0 0 5 0 43 92.82 2.188 42.421 20.7692 0.0256 0 "" "" "" "" "" 0 "" "" "" "" "" "" 2 "" "" "" "" "" 0 "" "" "" NOT_AVAILABLE 345.5632928549 2.42258358897 257.16153196341 -16.68545833046 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 254.007859301 24.243 -39.4146650776 6.3408
15 16.930424 -39.349589 648.168 770.16 10.771 0.005 0.211 0.006 -0.291 0.006 0.351 0.006 1.1732 0.102275 0.045376 0.091658 26.3 "Gaia DR2 5970180330172999040" 253.95659358978 0.0504 -39.34931786004 0.0459 1635721458409799680 5970180330172999040 918738111 2015.5 0.64 0.0477 13.4223 1.02 0.101 -0.695 0.077 -0.3783 -0.1088 -0.6734 0.3582 -0.2123 0.4525 -0.879 -0.1659 0.3033 -0.4787 238 238 230 8 10.113 513.78 0.0 0.0 31 1 319.6409 1.6966 0.0081 0.023 28 11 0.07542 0 32 0 260 1005000.0 373.4 2691.806 10.6829 0.0004 25 661600.0 928.4 712.636 10.7998 0.0015 26 522100.0 238.7 2187.25 10.4676 0.0005 1.178 0 0.3323 0.1169 0.2154 "" "" 0 "" "" "" NOT_AVAILABLE 345.5894960994 2.4943822614 257.11262964532 -16.62508111292 100001 8330.75 8037.0 8547.5 1.085 0.9503 1.2327 0.55 0.496 0.6134 "" "" "" "" "" "" "" 253.956587912 1.5618 -39.3493148678 1.198
16 16.917055 -39.271941 1946.14 128.44 10.78 0.016 0.383 0.024 0.159 0.02 0.555 0.023 2.1120 0.201043 -0.109604 0.168538 327.0 "Gaia DR2 5970370953696918912" 253.75633476782 0.2484 -39.27236599508 0.1813 1635721458409799680 5970370953696918912 813489329 2015.5 0.1995 0.2637 0.7564 -1.525 0.425 0.703 0.296 0.3061 -0.324 -0.3754 -0.3467 -0.1382 -0.2151 -0.6945 -0.1961 0.3362 0.1044 211 0 199 12 3.8919 280.35 0.885 4.2 31 0 0.4384 1.3731 0.0488 0.115 24 12 0.40225 0 26 0 210 861.2 1.577 546.106 18.3507 0.002 19 304.6 44.04 6.917 19.142 0.157 20 1199.0 35.35 33.916 17.0648 0.032 1.746 0 2.0772 0.7913 1.2859 "" "" 0 "" "" "" NOT_AVAILABLE 345.55229525575 2.66334442419 256.94276385649 -16.56652510225 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 253.75634325 6.5846 -39.2723690202 4.598
17 16.932314 -39.412898 464.704 1293.37 10.788 0.003 1.224 0.004 1.072 0.006 1.365 0.007 3.3261 0.073612 0.067878 0.028485 67.2 "Gaia DR2 5970179093222323328" 253.98577143623 0.0436 -39.41247235695 0.0389 1635721458409799680 5970179093222323328 892818267 2015.5 1.0813 0.0485 22.3008 0.936 0.088 -1.764 0.066 -0.2162 -0.1064 -0.5082 0.1781 -0.2924 0.2753 -0.8241 -0.2033 0.3702 -0.31 233 233 228 5 4.2318 323.98 0.0 0.0 31 0 341.963 1.4858 0.0079 0.048 26 12 0.060712 0 27 1 214 1379000.0 354.4 3890.459 10.3395 0.0003 25 534200.0 484.8 1101.831 11.0322 0.001 25 1204000.0 1098.0 1096.103 9.5605 0.001 1.26 1 1.4716 0.6927 0.779 1.53 0.58 3 5500.0 4.5 0.0 NOT_AVAILABLE 345.55431951815 2.43726815462 257.14357223968 -16.68523365602 100002 4378.28 4096.47 4568.18 0.4085 0.207 1.6455 0.2175 0.1029 0.9111 200111 13.79 12.67 15.76 62.993 59.08 66.906 253.98576622 1.371 -39.4124647601 1.0293
18 16.928695 -39.502017 816.059 2029.89 10.907 0.005 0.288 0.012 -0.282 0.012 0.502 0.008 2.1995 0.066048 0.025673 -0.060854 157.1 "Gaia DR2 5970176821171953152" 253.93118689809 0.1048 -39.5018398111 0.0682 1635721458409799680 5970176821171953152 662458542 2015.5 0.5207 0.1098 4.7443 0.994 0.144 -0.841 0.109 -0.424 -0.6944 -0.5944 0.2763 0.309 0.3415 -0.7665 0.1954 -0.1019 -0.4198 106 106 104 2 9.0282 286.77 0.0 0.0 31 0 287.2198 1.7185 0.0175 -0.066 12 9 0.097182 0 16 1 121 912100.0 587.2 1553.285 10.7883 0.0007 13 573300.0 1112.0 515.454 10.9554 0.0021 12 511500.0 906.7 564.12 10.4899 0.0019 1.189 0 0.4655 0.1671 0.2984 "" "" 0 "" "" "" NOT_AVAILABLE 345.45815917678 2.41419281117 257.11056611001 -16.77884780244 100001 7738.0 7454.0 7950.0 "" "" "" "" "" "" "" "" "" "" "" "" "" 253.931181354 2.2338 -39.5018361916 1.6844
19 16.923757 -39.452793 1295.39 1623.08 10.919 0.007 0.241 0.008 -0.32 0.008 0.407 0.009 1.6627 0.034644 -0.032541 -0.011888 249.9 "Gaia DR2 5970178028056655104" 253.85577170485 0.061 -39.45287037547 0.0476 1635721458409799680 5970178028056655104 507034199 2015.5 0.7361 0.0712 10.3376 1.296 0.101 -0.873 0.078 -0.2532 -0.4596 -0.341 0.0306 -0.109 0.2005 -0.7077 -0.1245 0.3379 -0.3584 159 159 152 7 8.8718 356.42 0.0 0.0 31 0 355.0884 1.7039 0.012 -0.012 18 10 0.063323 0 20 1 167 879900.0 743.6 1183.219 10.8273 0.0009 18 574300.0 1808.0 317.634 10.9536 0.0034 17 470700.0 555.5 847.344 10.5801 0.0013 1.188 0 0.3735 0.1263 0.2472 "" "" 0 "" "" "" NOT_AVAILABLE 345.45985310386 2.49024332837 257.04428435236 -16.73691332874 100001 8040.0 7775.0 8628.25 1.0743 0.8909 1.191 0.5353 0.445 0.6058 "" "" "" "" "" "" "" 253.855764478 1.5603 -39.452866616 1.2157
20 16.917767 -39.553591 1877.0 2456.12 10.937 0.015 1.365 0.02 1.271 0.016 1.501 0.033 3.6010 0.150549 -0.100522 -0.112073 221.9 "Gaia DR2 5969801995097329152" 253.7675423076 8.3506 -39.55299028819 5.2871 1635721458409799680 5969801995097329152 1473697147 2015.5 "" "" "" "" "" "" "" 0.4104 "" "" "" "" "" "" "" "" "" 88 0 88 0 2.1085 112.42 2.445 1.0 3 0 0.0221 "" "" 0.151 10 6 86.644 0 12 0 95 116.8 1.77 65.971 20.5201 0.0165 2 56.32 2.556 22.033 20.9747 0.0493 0 "" "" "" "" "" "" 1 "" 0.4546 "" "" "" 0 "" "" "" NOT_AVAILABLE 345.33906364685 2.48045417683 256.9857684114 -16.84424509272 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 253.767542308 8.3506 -39.5529902882 5.2871
