ID alpha delta x y v ev bv ebv ub eub vi evi d_arcsec
437 250.223266 -43.466615 109.459 1952.45 16.338 0.007 0.945 0.009 "" "" 1.268 0.008 7.2888
438 250.184617 -43.419412 363.779 1529.33 16.344 0.004 1.105 0.011 "" "" 1.394 0.007 7.1661
