ID alpha delta x y v ev bv ebv ub eub vi evi d_arcsec
6880 252.545708 -43.196017 16.4 4048.85 18.097 0.047 1.949 0.091 nan nan nan nan 9.6344
7689 251.868766 -43.304806 4079.85 3148.54 18.29 0.045 1.539 0.069 nan nan nan nan 10.5126
9786 251.878196 -43.684765 4023.24 4.098 18.808 0.052 1.441 0.084 nan nan 1.713 0.051 7.2978
3320 252.536608 -43.314827 71.022 3065.61 17.025 0.013 1.237 0.019 0.544 0.074 1.528 0.013 8.7858
7147 252.460969 -43.191828 525.058 4083.52 18.166 0.023 1.488 0.047 nan nan 1.979 0.023 8.9273
7382 252.463276 -43.203475 511.21 3987.13 18.219 0.024 1.209 0.042 nan nan 1.663 0.024 10.5224
7397 252.430484 -43.293599 708.048 3241.29 18.223 0.021 1.316 0.04 nan nan 1.502 0.022 8.3332
8972 252.479157 -43.231319 415.884 3756.7 18.601 0.035 1.538 0.063 nan nan 1.691 0.035 7.0193
4425 252.525782 -43.225612 136.01 3803.93 17.424 0.017 1.223 0.026 nan nan 1.447 0.017 7.7750
4636 252.45055 -43.321042 587.597 3014.18 17.495 0.014 1.247 0.021 nan nan 1.529 0.015 7.5282
6528 252.511858 -43.193016 219.588 4073.69 18.019 0.027 1.345 0.042 nan nan 1.645 0.027 7.9264
11009 252.421325 -43.30597 763.025 3138.91 19.24 0.058 nan nan nan nan 1.932 0.057 7.3075
