ID         alpha     delta           x         y         v          ev         bv         ebv        ub         eub        vi         evi
104        251.931821   -43.582520  3701.350   850.250     13.028      0.003      2.034      0.006      1.873      0.022      2.431      0.004
105        252.241584   -43.425659  1841.950  2148.390     13.042      0.006      1.431      0.008      1.368      0.013      1.559      0.006
106        252.340167   -43.614775  1250.190   583.320     13.050      0.005      0.648      0.010      0.300      0.012      0.895      0.005
107        252.324752   -43.654236  1342.720   256.746     13.052      0.004      1.412      0.010      1.306      0.014      1.595      0.007
109        252.282957   -43.580922  1593.600   863.473     13.066      0.005      0.534      0.008        -0.011      0.010      0.800      0.005
108        252.065452   -43.223349  2899.210  3822.660     13.066      0.004      0.572      0.008      0.361      0.011      0.707      0.004
110        252.135979   -43.407388  2475.860  2299.600     13.071      0.006      2.114      0.011      1.618      0.026     nan      nan
111        251.868722   -43.418883  4080.110  2204.470     13.082      0.011      2.212      0.013 nan       nan      nan      nan
112        252.035888   -43.448541  3076.670  1959.030     13.083      0.005      3.486      0.009        -1.901      0.021     nan      nan
114        252.374184   -43.333258  1046.000  2913.080     13.088      0.005      0.558      0.008      0.356      0.008      0.674      0.006
113        252.053092   -43.348815  2973.400  2784.330     13.088      0.005      0.950      0.008      0.495      0.011      1.153      0.005
115        251.969921   -43.577322  3472.650   893.264     13.089      0.003      0.597      0.007      0.122      0.010      0.667      0.004
116        252.405003   -43.646887   861.003   317.568     13.099      0.004      1.669      0.009      1.634      0.017      1.858      0.006
117        252.210513   -43.258491  2028.460  3531.830     13.110      0.005      1.623      0.010      1.523      0.018      1.749      0.010
118        252.460161   -43.349316   529.908  2780.190     13.120      0.006      1.665      0.008      1.782      0.017      1.763      0.006
119        252.243978   -43.334987  1827.580  2898.770     13.129      0.006      1.956      0.008      1.792      0.018      2.288      0.007
120        252.029416   -43.468534  3115.520  1793.570     13.140      0.005      2.279      0.008      0.059      0.017     nan      nan
121        252.139752   -43.340910  2453.210  2849.750     13.153      0.004      0.766      0.007      0.211      0.010      0.808      0.004
