ID        alpha     delta          x         y        v         ev        bv        ebv       ub        eub       vi        evi
71        253.603856   -45.144079  2026.970 1028.850    13.539     0.007     0.604     0.008     0.174     0.008     0.841     0.010
72        253.688575   -45.084655  1534.990  536.111    13.547     0.003     0.620     0.004     0.422     0.005     0.992     0.008
73        253.879788   -45.117018   424.576  804.462    13.554     0.005     0.592     0.005     0.113     0.005     0.818     0.012
74        253.932801   -45.339964   116.721 2653.100    13.573     0.005     2.031     0.007     1.561     0.011     2.560     0.014
75        253.925042   -45.076507   161.778  468.552    13.593     0.009     1.667     0.010     1.234     0.008     2.110     0.021
76        253.709659   -45.142022  1412.550 1011.790    13.604     0.006     0.606     0.007     0.251     0.008     0.964     0.007
77        253.707291   -45.187440  1426.300 1388.390    13.608     0.008     0.848     0.009     0.304     0.011     1.264     0.010
78        253.774699   -45.154013  1034.850 1111.220    13.609     0.007     0.738     0.011     0.005     0.013     1.158     0.008
79        253.751867   -45.082592  1167.440  519.003    13.632     0.003     0.748     0.004     0.292     0.005     1.188     0.008
80        253.777878   -45.140618  1016.390 1000.150    13.639     0.005     0.750     0.006     0.451     0.009     0.912     0.007
81        253.906009   -45.227604   272.303 1721.430    13.647     0.008     1.049     0.010     0.731     0.009     1.520     0.011
82        253.837867   -45.058471   668.022  318.994    13.658     0.006     0.600     0.007     0.377     0.005     0.844     0.012
83        253.873449   -45.340915   461.389 2660.990    13.679     0.005     0.594     0.026     0.233     0.036     0.815     0.009
84        253.696284   -45.106500  1490.220  717.243    13.687     0.005     0.542     0.006     0.242     0.006     0.892     0.007
85        253.709798   -45.151243  1411.740 1088.250    13.692     0.007     0.796     0.008     0.527     0.009     0.862     0.009
86        253.777006   -45.241277  1021.450 1834.800    13.692     0.030     1.291     0.039     0.267     0.028     2.047     0.037
87        253.879109   -45.308159   428.522 2389.380    13.706     0.040     0.809     0.046     0.095     0.023     0.981     0.052
88        253.702936   -45.259465  1451.590 1985.610    13.784     0.010     0.925     0.014     0.354     0.014     1.367     0.015
89        253.738613   -45.342460  1244.410 2673.800    13.795     0.005     0.826     0.006     0.598     0.005     1.134     0.007
90        253.768644   -45.132952  1070.010  936.582    13.800     0.005     1.319     0.006     0.196     0.009     2.131     0.008
91        253.708836   -45.247629  1417.330 1887.470    13.813     0.010     1.933     0.015     1.607     0.016     2.367     0.018
92        253.945976   -45.256434    40.209 1960.480    13.826     0.007     0.820     0.008     0.427     0.007     1.018     0.008
93        253.834666   -45.167554   686.610 1223.500    13.826     0.007     1.823     0.008     1.560     0.011     2.222     0.009
94        253.780232   -45.242800  1002.720 1847.430    13.833     0.027     1.174     0.029     0.223     0.012     1.900     0.033
95        253.804283   -45.105595   863.049  709.741    13.834     0.004     2.055     0.006     1.667     0.014     2.593     0.011
96        253.772836   -45.240108  1045.670 1825.110    13.861     0.028     1.169     0.036     0.219     0.026     1.897     0.034
97        253.938709   -45.213886    82.410 1607.680    13.871     0.004     0.752     0.005     0.231     0.006     0.922     0.006
98        253.805643   -45.034523   855.149  120.419    13.874     0.007     0.580     0.008     0.227     0.005     0.992     0.013
99        253.913087   -45.163238   231.203 1187.710    13.894     0.003     0.861     0.005     0.123     0.006     1.308     0.005
100       253.619624   -45.053735  1935.400  279.729    13.919     0.005     1.454     0.007     1.367     0.008     1.840     0.009
