# Removed extra columns, and rows at the end of the file
# Replaced '0' with INDEF
# Replaced INDEF with nan
ID     alpha     delta        x        y       v       ev        bv      ebv     ub      eub       vi       evi
35    16.923272    -39.495537    1342.48    1976.34    11.64    0.008    0.291    0.01    -0.217    0.008    0.466    0.011
36    16.937032    -39.272334    6.609    131.69    11.824    0.022    0.68    0.027    0.225    0.018    0.885    0.025
37    16.928047    -39.462928    878.954    1706.84    11.857    0.007    0.273    0.009    -0.102    0.009    0.427    0.011
38    16.924719    -39.441266    1202.04    1527.82    11.89    0.007    0.263    0.009    -0.157    0.009    0.423    0.01
39    16.930635    -39.343626    627.688    720.876    11.95    0.005    1.216    0.007    1.061    0.008    1.41    0.007
40    16.93076    -39.521287    615.557    2189.15    11.969    0.009    0.266    0.011    -0.155    0.01    0.47    0.013
41    16.925439    -39.354428    1132.1    810.151    12.006    0.009    1.489    0.01    1.558    0.009    1.612    0.011
42    16.923531    -39.547607    1317.35    2406.67    12.033    0.006    1.868    0.013    1.783    0.016    2.166    0.022
43    16.928033    -39.604381    880.254    2875.88    12.039    0.005    1.258    0.017    0.963    0.02    1.425    0.009
44    16.928748    -39.484746    810.916    1887.16    12.046    0.007    0.311    0.008    -0.102    0.008    0.477    0.01
45    16.919291    -39.487561    1729.05    1910.42    12.048    0.008    0.659    0.01    0.231    0.008    0.874    0.011
46    16.934656    -39.380178    237.299    1022.96    12.075    0.005    0.292    0.006    -0.01    0.005    0.444    0.009
47    16.935924    -39.595853    114.162    2805.4    12.116    0.004    1.312    0.016    1.086    0.02    1.467    0.014
48    16.927923    -39.332126    890.93    625.835    12.12    0.007    0.331    0.008    0.151    0.008    0.464    0.009
49    16.928343    -39.478729    850.212    1837.43    12.154    0.008    1.398    0.01    1.327    0.011    1.543    0.01
50    16.923275    -39.425916    1342.23    1400.96    12.165    0.008    0.276    0.01    -0.082    0.009    0.407    0.01
51    16.922858    -39.43592    1382.75    1483.64    12.173    0.009    0.287    0.01    -0.027    0.008    0.449    0.01
52    16.927383    -39.507244    943.38    2073.09    12.175    0.008    0.435    0.011    0.194    0.011       nan       nan
53    16.932403    -39.614573    456.059    2960.11    12.178    0.005    0.303    0.017    -0.083    0.02    0.505    0.008
54    16.928394    -39.450486    845.219    1604.02    12.178    0.007    0.257    0.01    0.007    0.01    0.397    0.009
55    16.926136    -39.470871    1064.44    1772.49    12.215    0.007    0.386    0.009    -0.014    0.009    0.544    0.009
56    16.922091    -39.411072    1457.2    1278.28    12.228    0.008    0.288    0.011    0.004    0.009    0.449    0.011
57    16.925591    -39.47555    1117.38    1811.16    12.23    0.007    0.342    0.01    -0.095    0.01    0.457    0.01
58    16.923026    -39.488225    1366.36    1915.91    12.24    0.008    0.35    0.01    -0.023    0.01    0.521    0.01
59    16.918794    -39.408031    1777.25    1253.15    12.241    0.007    0.527    0.01    0.358    0.01    0.699    0.01
60    16.92857    -39.422523    828.202    1372.92    12.261    0.007    0.374    0.009    0.228    0.009    0.542    0.01
61    16.917728    -39.477305    1880.8    1825.66    12.279    0.008    0.768    0.011    0.156    0.01    0.995    0.01
62    16.927239    -39.422862    957.345    1375.72    12.343    0.006    0.37    0.009    0.206    0.01    0.521    0.01
63    16.931882    -39.355417    506.57    818.324    12.364    0.005    0.294    0.008    -0.017    0.007    0.462    0.008
64    16.923379    -39.407139    1332.09    1245.78    12.375    0.007    0.293    0.01    -0.013    0.011    0.428    0.01
65    16.91806    -39.54144    1848.58    2355.7    12.399    0.008    0.408    0.015    0.209    0.015    0.547    0.011
66    16.917246    -39.383388    1927.56    1049.49    12.442    0.009    0.361    0.015    0.078    0.015    0.517    0.01
67    16.923611    -39.479601    1309.64    1844.64    12.457    0.008    0.397    0.012    -0.002    0.011    0.593    0.011
68    16.917037    -39.615971    1947.83    2971.66    12.488    0.012    0.386    0.021    0.226    0.02    0.547    0.014
69    16.927815    -39.445317    901.483    1561.3    12.525    0.008    0.263    0.011    0.061    0.011    0.405    0.01
70    16.929769    -39.474256    711.76    1800.46    12.569    0.007    0.283    0.01    0.045    0.01    0.447    0.01
71    16.927924    -39.375249    890.879    982.226    12.57    0.006    0.307    0.009    0.087    0.009    0.483    0.009
72    16.925694    -39.490239    1107.41    1932.55    12.572    0.008    0.41    0.011    -0.017    0.01    0.588    0.011
73    16.929572    -39.531539    730.905    2273.88    12.586    0.009    0.348    0.012    0.101    0.012    0.53    0.012
74    16.927689    -39.464247    913.655    1717.74    12.588    0.007    0.392    0.01    0.245    0.011    0.523    0.01
75    16.922377    -39.545062    1429.42    2385.64    12.599    0.006    0.413    0.014    0.049    0.015    0.574    0.008
76    16.933778    -39.39108    322.496    1113.06    12.604    0.006    0.325    0.008    0.128    0.007    0.484    0.007
77    16.927992    -39.508188    884.246    2080.89    12.614    0.006    0.366    0.009    0.077    0.008       nan       nan
78    16.920636    -39.580379    1598.41    2677.51    12.615    0.007    0.385    0.011    0.049    0.009    0.58    0.01
79    16.933061    -39.446545    392.151    1571.45    12.619    0.006    0.283    0.008    0.076    0.008    0.455    0.009
80    16.924191    -39.470393    1253.29    1768.54    12.637    0.006    0.377    0.01    -0.024    0.009    0.534    0.008
81    16.933341    -39.522052    364.968    2195.47    12.645    0.008    1.443    0.014    1.363    0.014    1.679    0.011
82    16.921349    -39.342475    1529.23    711.363    12.664    0.012    0.35    0.014    0.107    0.012    0.479    0.012
83    16.934467    -39.53017    255.65    2262.56    12.666    0.007    0.386    0.011    0.092    0.011    0.586    0.009
84    16.92264    -39.285193    1403.85    237.955    12.703    0.009    0.426    0.014    0.302    0.016    0.606    0.011
85    16.923675    -39.595292    1303.44    2800.76    12.707    0.006    0.787    0.018    0.194    0.019    1.001    0.009
86    16.91987    -39.384538    1672.79    1058.99    12.732    0.007    1.558    0.009    1.631    0.01    1.703    0.009
