ID        alpha     delta          x         y         v         ev        bv        ebv       ub        eub       vi        evi
53        250.200720-43.460747   257.814  1899.850    12.982     0.006     0.919     0.010     0.089     0.012     1.103     0.007
54        250.051836-43.313459  1237.510   579.586    13.033     0.006     0.797     0.006     0.078     0.005     0.896     0.007
55        249.979601-43.403579  1712.830  1387.410    13.046     0.004     0.637     0.004     0.265     0.005     1.054     0.004
56        250.065217-43.364575  1149.460  1037.780    13.062     0.006     0.569     0.005     0.183     0.004     0.804     0.006
57        249.964062-43.373469  1815.080  1117.510    13.063     0.004     0.562     0.005     0.147     0.005     0.950     0.005
58        250.156342-43.345374   549.831   865.673    13.065     0.005     0.482     0.004     0.068     0.003     0.740     0.005
59        250.149739-43.370943   593.282  1094.860    13.119     0.003     0.484     0.003     0.199     0.002     0.735     0.003
60        249.997292-43.370134  1596.420  1087.610    13.127     0.003     0.536     0.003     0.135     0.003     0.847     0.004
61        250.065118-43.318946  1150.110   628.771    13.139     0.006     1.153     0.005     1.010     0.006     1.295     0.007
62        250.011270-43.324935  1504.440   682.461    13.174     0.003     0.603     0.004     0.046     0.005     0.845     0.005
63        250.021969-43.368970  1434.040  1077.180    13.177     0.003     0.490     0.003     0.034     0.003     0.785     0.003
64        250.121946-43.342584   776.166   840.659    13.236     0.003     0.569     0.003     0.286     0.005     0.742     0.004
65        250.068484-43.342994  1127.960   844.333    13.313     0.003     0.584     0.003     0.150     0.003     0.855     0.004
66        250.187372-43.257418   345.645    77.246    13.328     0.015     0.532     0.014     0.216     0.013     0.883     0.016
67        250.049545-43.401838  1252.580  1371.800    13.337     0.003     0.620     0.003     0.138     0.003     0.871     0.007
68        250.065720-43.353810  1146.150   941.285    13.340     0.003     0.554     0.003     0.027     0.004     0.853     0.004
69        250.025414-43.375984  1411.370  1140.050    13.377     0.003     0.572     0.003     0.185     0.003     0.863     0.003
70        250.073807-43.356838  1092.930   968.426    13.415     0.003     0.574     0.003     0.103     0.004     0.846     0.007
71        250.069519-43.431386  1121.150  1636.660    13.418     0.005     0.758     0.004     0.113     0.004     0.983     0.005
72        250.106315-43.321889   879.023   655.150    13.445     0.005     0.882     0.005     0.369     0.005     1.170     0.006
73        249.969398-43.394339  1779.970  1304.580    13.463     0.004     0.986     0.003     0.564     0.006     1.465     0.004
74        250.077798-43.350218  1066.670   909.088    13.489     0.003     0.585     0.003     0.066     0.004     0.803     0.003
75        250.104851-43.425066   888.658  1580.010    13.515     0.004     0.852     0.004     0.246     0.004     1.093     0.006
76        250.153075-43.382847   571.327  1201.570    13.526     0.002     0.477     0.002     0.177     0.003     0.717     0.003
77        250.089024-43.257937   992.803    81.905    13.610     0.022     0.719     0.021     0.284     0.020     0.969     0.029
78        250.223087-43.281732   110.634   295.191    13.639     0.018     0.734     0.016     0.328     0.011     1.122     0.019
79        250.178583-43.408403   403.479  1430.650    13.640     0.003     0.544     0.003     0.180     0.004     0.789     0.004
80        249.983413-43.290935  1687.750   377.692    13.666     0.011     0.833     0.010     0.460     0.009     1.090     0.011
81        250.227936-43.334393    78.724   767.234    13.682     0.008     1.635     0.007     INDEF     INDEF     1.923     0.008
82        250.195218-43.421434   294.017  1547.450    13.713     0.004     1.162     0.003     0.885     0.011     1.324     0.005
83        250.100343-43.379748   918.320  1173.790    13.743     0.003     0.617     0.003     0.269     0.004     0.876     0.003
84        250.129881-43.400597   723.953  1360.680    13.755     0.002     0.525     0.002     0.116     0.004     0.768     0.003
85        249.947859-43.417877  1921.700  1515.570    13.786     0.010     0.730     0.010     0.230     0.008     1.210     0.015
86        250.136691-43.322567   679.142   661.230    13.792     0.003     0.547     0.003     0.195     0.004     0.762     0.004
87        250.125269-43.341332   754.297   829.433    13.821     0.003     0.538     0.003     0.197     0.004     0.710     0.004
88        250.224941-43.356766    98.436   967.782    13.841     0.005     1.971     0.005     INDEF     INDEF     2.450     0.006
89        249.941899-43.393567  1960.920  1297.660    13.842     0.006     0.648     0.007     0.360     0.008     1.108     0.007
90        250.051472-43.355124  1239.900   953.063    13.853     0.003     0.614     0.003     0.219     0.004     0.885     0.004
91        250.225721-43.295457    93.304   418.227    13.869     0.004     0.726     0.004     0.212     0.008     1.017     0.006
92        250.060676-43.348596  1179.340   894.548    13.884     0.004     0.729     0.003     0.077     0.005     0.933     0.005
93        250.127366-43.452671   740.502  1827.460    13.908     0.006     0.546     0.005     0.122     0.005     0.836     0.007
94        250.070733-43.382475  1113.160  1198.230    13.918     0.003     0.586     0.003     0.201     0.004     0.809     0.003
95        250.166558-43.443254   482.609  1743.040    13.926     0.005     0.681     0.006     0.184     0.007     0.892     0.007
96        249.997201-43.391574  1597.020  1279.800    13.960     0.002     0.687     0.002     0.375     0.005     0.986     0.003
97        250.012570-43.317118  1495.890   612.384    13.976     0.003     0.643     0.003     0.283     0.007     0.931     0.005
98        250.114372-43.355123   826.007   953.054    13.977     0.003     0.598     0.003     0.265     0.005     0.843     0.003
